Institution_Name,SC_Ranking,SC Score,Curriculum,Public Engagement,Air & Climate,Campus Engagement,Research,Waste,Food & Dining,Water,Transportation,Buildings,Divestment Score,Diversity and Affordability,Energy,Wellbeing & Work,Grounds,Coordination and Planning,Investment & Finance,Purchasing,Innovation Score
Green Mountain College,1,86.95,19.71,5.99,9.46,9.55,6.57,2.07,1.55,1.56,3.52,0.23,6,2.72,6.65,1.32,1.81,1.97,1.35,0.92,4
"University of California, Irvine",1,86.95,17.64,9,6.02,9.16,6.25,3.46,1.68,5.21,3.86,2.28,3,3.81,4.04,1.64,1.69,2,1.04,1.19,4
University of New Hampshire,2,84.3,18.22,9.35,7.87,9.71,6.29,2.64,1.4,2.43,3.03,1.74,0,3.77,6.32,1.67,1.89,1.89,1.04,1.04,4
University of Connecticut,3,81.76,16.84,9.62,5.45,9.95,6.29,2.89,3.2,4.76,3.33,1.65,0,3.63,3.3,1.34,1.7,1.95,0.78,1.07,4
Colorado State University,4,81.22,17.7,9.76,4.29,9.88,6.25,3.07,1.65,5.37,2.83,1.91,0,3.78,2.81,2.03,1.82,1.94,0.94,1.2,4
Arizona State University,5,81.04,15.91,9.54,6.3,10,6.3,3.3,1.59,3.24,2.96,1.59,1,3.3,5.7,1.28,1.12,1.65,1.11,1.14,4
Dickinson College,6,80.67,17.21,7.06,7.43,10.42,6.59,2.21,1.49,2.87,3.41,1.83,1,3.8,5.37,0.6,1.45,1.91,0.84,1.19,4
University of Massachusetts Amherst,7,79.07,14.41,8.13,5.72,9.41,5.78,2.52,1.87,4.11,3.25,1.6,5,3.51,3.87,1.49,1.14,1.58,0.73,0.94,4
Seattle University,8,78.41,18.46,9.5,5.97,7.2,5.04,2.53,1.14,1.27,3.02,2.05,5,3,3.35,1.38,2.25,1.84,0.44,0.97,4
"California State University, Chico",9,78,17.12,7.3,6.75,7.76,4.52,3.35,2.28,2.16,3.06,1.26,6,2.92,2.86,1.46,2.07,1.95,0.29,0.88,4
Middlebury College,10,76.99,14.33,9.13,8.82,7.33,6.02,3.07,1.2,1.95,3.41,1.3,1,3.82,3.85,2,2.02,2.05,1.05,0.63,4
Sterling College,11,76.86,17.17,8.46,4.56,9.72,5.45,1.8,4.11,2,3.33,0.41,0,3.01,5.92,1.76,2.05,1.44,1.01,0.66,4
American University,12,76.53,14.39,4.66,7.83,8.11,5.32,2.54,1.13,4.74,3.6,1.77,1,3.27,8.13,0.7,1.75,1.95,0.43,1.2,4
Santa Clara University,13,76.13,16.65,8.54,5.97,9.34,5.94,2.94,1.7,2.5,3.3,1.09,1,3.58,5,1.58,0.57,1.07,0.36,0.98,4
Chatham University,14,76.09,16.17,9.26,7.75,9.4,5.7,1.68,2.07,3.46,2.64,1.33,0,3.8,3.82,1.08,1.73,1.64,0.08,0.49,4
Oregon State University,15,75.82,14.24,7.28,4.06,9.29,5.47,3.06,1.8,3.19,3.13,1.01,6,3.39,3.45,1.58,1.74,1.71,0.56,0.85,4
University of Oregon,16,75.42,16.76,5.37,5.09,8.41,5.26,3.1,1.08,2.52,3.76,2.1,6,3.32,2.73,1.77,1.36,2,0.19,0.63,4
Lewis & Clark College,17,75.05,11.46,6.99,9.07,5.97,4.09,2.72,2.07,1.57,3.21,1.65,6,3.61,5.75,1.17,2.2,1.12,1.3,1.1,4
University of Dayton,18,74.93,17.66,8.82,4.25,8.36,6.37,2.3,1.17,3.1,2.62,1.13,3,3.72,2.4,1.26,1.27,1.78,0.43,1.27,4
Loyola Marymount University,19,74.74,12.77,7.87,7.48,9.52,4.19,2.04,1.31,5.4,3.14,2.03,1,3.26,4.45,1.42,1.77,1.44,0.57,1.08,4
Cornell University,20,74.47,14.38,8.65,6.02,9.12,5.59,2.37,1.3,3.77,3.31,1.63,1,3.81,3.97,0.99,1.59,2.01,0.03,0.92,4
Colgate University,21,74.31,13.43,8.53,8.03,8.23,4.99,1.9,2.4,4.85,3.42,1.59,1,2.42,4.29,0.83,1.54,1.6,0,1.24,4
University of Massachusetts Lowell,22,74.04,15.79,7.59,5.88,9.25,4.35,3.67,1.13,1.36,2.41,1.53,6,3.12,3.58,1.78,0,1.45,0.72,0.93,3.5
Appalachian State University,23,73.52,18.17,8.5,4.21,9.66,5.63,2.24,0.88,2.17,2.64,2.17,0,3.52,2.78,1.52,2.05,2.03,0.43,0.92,4
University of Colorado Colorado Springs,24,73.46,15.12,8.5,6.43,6.69,5.57,2.95,1.32,3.77,2.26,2.04,0,2.94,6.02,1.34,1.14,1.82,0.43,1.13,4
